question,option0,option1,option2,option3,correctAnswer,level,audio
ජන කතාවට අනුව ගමරාල දිව්‍යලෝකයට ගියේ කෙසේ ද?,බෝංචි වැලක නැගීමෙන්,මායා කොස්සක් පැදීමෙන්,අලි වලිගයේ එල්ලීමෙන්,මැජික් අරිෂ්ටය බීමෙන්,2,1,
"ඔලිඳ පුවරුවක එක් පසෙක වළවල් 6ක් ඇත. එක් වළකට ඔලිඳ ඇට 4ක් දැමිය යුතු නම්,පුවරුවේ දෙපසම පිරවීමට ඔලිඳ ඇට කීයක් තිබිය යුතු ද?",24,34,38,48,3,2,
මේ අතරින් වාදනයේ දී බෝ එකක් භාවිත නොවන්නේ කුමක ද?,එස්රාජ්,වයලීනය,හාප්,චෙලෝ,2,3,
මේ අතරින් චිත්‍රපට අධ්‍යක්ෂකවරයෙකු වන්නේ කවු ද?,අනුරාග් කාශ්‍යප්,මුකේෂ් අම්බානි,සත්‍යා නඩේලා,ගෞතම් අදානි,0,4,
මේ අතරින් ස්වතන්ත්‍ර නාට්‍ය නිර්මාණය කුමක් ද?,ගොඩෝ උන්නැහේ එනකල්,හෙලේ නැග්ග ඩෝං පුතා,මූදු පුත්තු,තාරාවෝ ඉගිලෙති,3,5,
"එක්තරා තරගයක දී ඔබේ ප්‍රතිවාදියා ලුවිස් හැමිල්ටන් වන්නේ නම්, ඔබට සහභාගී වීමට සිදුවන්නේ කිනම් තරගයකට ද?",මීටර 100 ධාවන තරගයකට,පාපැදි ධාවන තරගයකට,මෝටර් ධාවන තරගයකට,යතුරු පැදි ධාවන තරගයකට,2,6,
මෙරටට පත්කෙරුණු රාජ්‍ය තාන්ත්‍රික නිලධාරියා මහ කොමසාරිස්වරයෙකු නොවන්නේ මින් කුමන රටක ද?,ඉන්දියාව,බ්‍රිතාන්‍ය,ඇමරිකාව,ඕස්ට්‍රේලියාව,0,7,
මේ අතරින් වැඩිමලා කවු ද?,දෝන කතරිනා,දෝන ඉසබෙලා,ලොවීනා,ප්‍රමිලා,0,8,
"""You have stolen my childhood and my dreams with your empty words"" ලෝක නායකයින්ට මෙසේ අභියෝග කළ දැරිය කවුද?",මලාලා යූසුෆ්සායි,ග්‍රෙටා තුන්බර්ග්,නාඩියා මුරාඩ්,ටවක්කො'ල් කාමන්,1,9,
ඔටුවා ගැන වැරදි ප්‍රකාශය කුමක් ද?,මොල්ලි තුනක් දරයි,ඇසිපිය තුනක් දරයි,එක් වල්ගයක් දරයි,අං නොදරයි,0,10,
"2006 තිරගත වූ සත්‍ය කතාවක් මත පදනම් වූ ""පර්සූට් ඔෆ් හැපිනස්"" චිත්‍රපටය පිළිබඳ නිවැරදි ප්‍රකාශය කුමක් ද?",එය ස්ටීව් ජොබ්ස්ගේ ජීවිත කතාවයි,එය ක්‍රිස් ගාඩ්නර්ගේ ජීවිත කතාවයි,එය මාක් සකර්බර්ග්ගේ ජීවිත කතාවයි,එය ජෙෆ් බෙසොස්ගේ ජීවිත කතාවයි,1,11,
පෘතුගීසි සමයේ ලියැවුනු ග්‍රන්ථයක් වන්නේ මින් කුමක් ද?,පූජාවලිය,බුත්සරණ,ගුත්තිල කාව්‍ය,සද්ධර්මරත්නාවලිය,2,12,
මේ අතරින් නොගැළපෙන්නේ කවු ද?,ඔලිවර්ගේ හාල්දණ්ඩා,ඇනන්ඩේල්ගේ සිඟිති හිකනලා,දැරණියගලගේ ලක් හීරලුවා,ටේලර්ගේ හීරලු හිකනලා,0,12,
අපරදිග අහසේදී දැකගත නොහැක්කේ මින් කුමක් ද?,බසින හිරු,බැස යන සඳු,පිපෙන තරු,දිලෙන අරුණලූ,3,1,
මීටර් 24ක් දිග කම්බි කුරක් හරි මැදින් දෙකට කපා ඉන් එක් කොටසකින් සැදු සමචතුරස‍්‍රයක පාදයක දිග කොපමණක් විය හැකි ද?,මීටර් 3යි,මීටර් 6යි,මීටර් 9යි,මීටර් 12යි,0,2,
අශ්වයා පැන්න පසු ඉස්තාලය වැසීමට සමානාර්ථ වන්නේ මින් කුමක් ද?,කටුස්සාගේ කරේ රත්තරන් බැඳීම,හොරාගේ අම්මගෙන් පේන ඇසීම,නරියාට කුකුල්ලූ බාර දීම,අහසට ඉණිමං බැඳීම,3,3,
ටේබල් ටෙනිස් හා ටෙනිස් අතර ඇති වෙනස්කමක් වන්නේ කුමක් ද?,යුගල වශයෙන් ක්‍රීඩා කිරිමට හැක,දැල් සහිත රැකට්ටුවකින් ක්‍රීඩා කරයි,දැලක් දෙපස ක්‍රීඩා කරයි,ගෝලාකාර පන්දුවක් යොදාගනී,1,4,
"සිරිමත් මගෙ සකි,",නුවණත් ළමයෙකි,යහපත් ළමයෙකි,ගුණවත් ළමයෙකි,පැහැපත් ළමයෙකි,1,1,
පොතක් කියවීමේදී තමාට කියවීමට අවශ්‍ය මාතෘකාව තෝරා ගැනීමට උපකාර වන්නේ කුමක් ද?,පසු වදන,පෙර වදන,පටුන,පිටු අංක,2,2,
එක්තරා වැඩක් නිම කිරීමට මිනිසුන් 8 දෙනෙකුට දින 6ක් ගතවේ. එමෙන් තුන් ගුණයක වැඩක් නිම කිරීමට මිනිසුන් 16 දෙනෙකුට දින කීයක් ගතවේ ද?,6,7,8,9,3,3,
"""මස්ටකයින්ට මුතු කුඩයකි නෙළුම් මල"" මෙහි මස්ටකයින් යනු කවුරුන් ද?",ගෙම්බන්,මාළුන්,කොක්කුන්,කුහුඹුවන්,1,4,
"""තොවිල්පලේ බෙරහඬ තීව්‍ර වෙද්දී, කොට්ටෝරුවා කුකුළෙක් රැගෙන ආවේ ය"" මෙහි ""කොට්ටෝරුවා"" කවු ද?",පක්ෂියෙක්,ආවතේවකරුවෙක්,යකෙක්,යකැදුරෙක්,1,5,
දුම්බර මිටියාවත ඔස්සේ ගලා බසින මහවැලි ගඟ මුහුදට වැටෙන්නේ කිනම් තැනකින් ද?,විල්ලුවකින්,ද්‍රෝණියකින්,මෝයකින්,කළපුවකින්,2,6,
කටින් බැලුම් බො'ලයක් පිම්බීමේදී ඵය පිරෙන වායුවේ වැඩි ප්‍රතිශතයක් ඇත්තේ කුමන වායුව ද?,ඔක්සිජන්,නයිට්‍රජන්,කාබන්ඩයොක්සයිඩ්,මීතේන්,1,7,
"කලියුග කාලෙක උපන්න නුවණක්කාරයො දෙන්නෙක් ගහට ගහක් හමුවෙන තැන මාර ගහක් යට ඉඳගත්තේ නම්, මේ මාර ගහ තිබෙන්නට ඇත්තේ කොහේ ද?",රයිගම,ගම්පොළ,මොරටුව,අම්බලන්ගොඩ,2,1,
අස්වැන්න ලෙසට කෙසෙල් කැනක් ලබාගැනීමට නම් සිටුවන්නට වෙන්නේ මේ අතරින් කුමක් ද?,කෙහෙල් ගෙඩියක්,කෙහෙල් අලයක්,කෙහෙල් ඇටයක්,කෙහෙල් මලක්,1,2,
